Name,Description
Weathered Golden Locket,"A locket that has the name ‘Callista’ on it with a picture of Milo, Tinita, and Callista in the picture. The locket was given by Callista to Tinita. "
Wedding Band,A wedding band that is in the urn of Milo’s ashes. She feels guilty for not reciprocating his feelings. 
Canary Paint tube,A tube of paint that Abuela often relies upon when creating her masterpieces; she thinks that the shade of yellow really brings out the best highlights.
Fountain Pen,"A feathered fountain pen that is the same color as Crowley’s feathers. "
Bag of Prized Marbles,"A bag of marbles that Tinita had received as a child from Milo and Callista when they were children. "
Coin Collection,"Tinita’s coin collection that she has developed since she has gotten older. "
Wired Statue,"A statue that is not finished of her husband, Milo, who has unfortunately passed away. "
Rosary ,A rosary that is part of her faith and she holds dear. (We’ll need to discuss what religion she believes in)
Silver Spoon,"A spoon that looks elegant and was given as a wedding gift when Tinita and Milo got married.  "
Colorful Pitcher,"A pitcher made by her daughters and which got Tinita back into art again. "
Wooden Carved Bowl,"A wooden bowl that has been carved by her husband and contains a four-leaf clover, and the bowl is coated in epoxy."
Picture of Family,"A dusty picture frame of Tinita, Milo, and their two daughters."
